salary_usd,job_title,salary_local,experience_level,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,job_description_length,benefits_score,company_name,employment_type_FL,employment_type_FT,employment_type_PT,salary_currency_CAD,salary_currency_CHF,salary_currency_EUR,salary_currency_GBP,salary_currency_JPY,salary_currency_SGD,salary_currency_USD,posting_duration,AWS,Azure,Computer Vision,Data Visualization,Deep Learning,Docker,GCP,Git,Hadoop,Java,Kubernetes,Linux,MLOps,Mathematics,NLP,PyTorch,Python,R,SQL,Scala,Spark,Statistics,Tableau,TensorFlow
219728,122840.68449392362,219728,3.0,123530.21756312445,1.0,125832.35612855518,0,0.0,13,124127.19528382148,1132,6.6,120624.93089029983,False,False,True,False,False,False,False,False,False,True,38,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
230237,120265.20777809255,25326070,3.0,131226.80012226684,2.0,129660.4507294766,50,1.0,10,124127.19528382148,2299,8.5,122477.80073939395,False,False,True,False,False,False,False,True,False,False,48,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
128890,127497.96600947459,109557,3.0,122934.0714931203,0.0,123778.5602185247,100,1.0,12,123920.93793267975,1329,5.5,120359.4648923503,False,False,False,False,False,True,False,False,False,False,68,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
96349,121180.10279150744,96349,1.0,116306.61368095898,2.0,117272.31670919541,50,3.0,2,123920.93793267975,1132,6.8,124593.67228891222,True,False,False,False,False,False,False,False,False,True,48,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
63065,121027.37247892222,53605,0.0,114742.8815534925,0.0,115660.84975247011,100,0.0,0,121584.10820267188,2011,9.3,118326.856517193,False,True,False,False,False,True,False,False,False,False,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
111794,122840.68449392362,145332,2.0,129508.99829378532,0.0,154678.5805095472,50,2.0,7,125714.78119225723,1021,5.1,122477.80073939395,False,False,False,False,False,False,False,False,True,False,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
113897,119771.69037790158,142371,2.0,113746.56958184903,2.0,118722.46913553114,50,0.0,9,119905.16104714476,2268,7.4,122187.41401641685,False,False,True,True,False,False,False,False,False,False,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
168639,120265.20777809255,227663,2.0,125694.26679247017,2.0,118197.84758255452,100,0.0,9,122381.52114165043,1497,5.5,120624.93089029983,False,True,False,False,False,False,False,False,False,False,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
92624,122840.68449392362,10188640,1.0,131226.80012226684,2.0,129660.4507294766,50,1.0,4,120643.85162628206,1724,9.5,118337.19699517907,False,True,False,False,False,False,False,True,False,False,46,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
215627,122513.0502911138,161720,3.0,130012.48368322718,1.0,128906.90555944799,50,3.0,10,120643.85162628206,902,7.8,121134.47297521816,False,True,False,False,False,False,True,False,False,False,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129706,127497.96600947459,129706,1.0,158360.08205671902,2.0,154729.955231694,0,1.0,3,122381.52114165043,2247,5.2,122477.80073939395,False,False,False,False,False,False,False,False,False,True,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
76559,124380.2992305099,76559,0.0,141859.23520017072,0.0,143323.19758998937,100,1.0,1,120643.85162628206,694,8.3,123787.58394685504,True,False,False,False,False,False,False,False,False,True,64,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
185834,121638.74992410523,185834,3.0,141859.23520017072,2.0,143323.19758998937,100,0.0,14,120812.53269133334,1710,8.9,125432.11887271449,False,False,False,False,False,False,False,False,False,True,68,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
